	CV1_S33_L001_R1_001.fastq.gz	CV2_S34_L001_R1_001.fastq.gz	CV3_S35_L001_R1_001.fastq.gz	CV4_S36_L001_R1_001.fastq.gz	CV5_S37_L001_R1_001.fastq.gz	GF1_S38_L001_R1_001.fastq.gz	GF2_S39_L001_R1_001.fastq.gz	GF3_S40_L001_R1_001.fastq.gz	GF4_S41_L001_R1_001.fastq.gz	GF5_S42_L001_R1_001.fastq.gz	GF6_S43_L001_R1_001.fastq.gz
ASV_103	202	7	92	0	24	0	0	0	0	0	0
ASV_104	0	0	0	0	0	0	0	0	319	0	0
ASV_105	12	18	34	0	224	0	0	0	0	9	0
ASV_106	189	14	38	0	38	0	0	0	0	5	0
ASV_107	0	0	0	0	0	0	0	0	281	0	0
ASV_108	18	125	0	58	79	0	0	0	0	0	0
ASV_109	278	0	0	0	0	0	0	0	0	0	0
ASV_110	119	0	116	0	33	0	0	0	3	0	0
ASV_111	0	0	0	0	267	0	0	0	0	0	0
ASV_112	0	0	0	0	0	0	0	0	239	0	0
ASV_113	234	0	0	0	0	0	0	0	0	0	0
ASV_114	0	0	173	8	53	0	0	0	0	0	0
ASV_115	0	0	0	0	0	0	0	0	0	221	0
ASV_116	0	0	0	0	0	0	0	0	217	0	0
ASV_117	0	0	0	0	0	0	0	0	0	216	0
ASV_118	215	0	0	0	0	0	0	0	0	0	0
ASV_119	0	0	55	0	157	0	0	0	0	0	0
ASV_120	150	0	40	0	17	0	0	0	0	0	0
ASV_121	103	0	0	104	0	0	0	0	0	0	0
ASV_122	202	0	0	0	0	0	0	0	0	0	0
ASV_123	87	0	35	0	80	0	0	0	0	0	0
ASV_124	0	0	95	0	101	0	0	0	0	0	0
ASV_125	0	0	39	72	84	0	0	0	0	0	0
ASV_126	42	24	75	7	45	0	0	0	0	0	0
ASV_127	0	0	81	0	112	0	0	0	0	0	0
ASV_128	107	23	52	8	0	0	0	0	0	0	0
ASV_129	66	57	0	32	35	0	0	0	0	0	0
ASV_130	0	0	189	0	0	0	0	0	0	0	0
ASV_131	0	0	181	0	0	0	0	0	0	0	0
ASV_132	22	8	0	17	24	16	17	0	52	13	4
ASV_133	0	0	0	159	0	0	0	0	0	0	0
ASV_134	0	0	0	0	0	0	0	0	0	155	0
ASV_135	0	0	0	0	0	0	0	0	0	154	0
ASV_136	0	0	0	0	0	0	0	0	0	154	0
ASV_137	0	0	0	0	0	0	0	0	145	0	0
ASV_138	0	0	0	0	0	0	0	0	0	143	0
ASV_139	16	107	11	7	0	0	0	0	0	0	0
ASV_140	48	52	19	0	0	0	0	0	0	5	0
ASV_141	115	0	0	0	0	0	0	0	0	0	0
ASV_142	88	0	0	26	0	0	0	0	0	0	0
ASV_143	33	11	69	0	0	0	0	0	0	0	0
ASV_144	40	0	0	35	35	0	0	0	0	0	0
ASV_145	73	0	0	13	15	0	0	0	6	0	0
ASV_146	0	0	0	0	0	0	0	0	101	0	0
ASV_147	37	0	39	0	21	0	0	0	0	0	0
ASV_148	95	0	0	0	0	0	0	0	0	0	0
ASV_149	69	0	11	0	9	0	0	0	0	0	0
ASV_150	38	40	6	5	0	0	0	0	0	0	0
ASV_151	66	0	0	21	0	0	0	0	0	0	0
ASV_152	62	0	0	5	20	0	0	0	0	0	0
ASV_153	55	0	0	0	20	0	0	0	0	0	0
ASV_154	74	0	0	0	0	0	0	0	0	0	0
ASV_155	56	0	15	0	2	0	0	0	0	0	0
ASV_156	39	15	0	11	5	0	0	0	0	0	0
ASV_157	12	4	0	0	7	3	9	0	25	7	0
ASV_158	0	0	66	0	0	0	0	0	0	0	0
ASV_159	0	0	60	0	0	0	0	0	0	0	0
ASV_160	0	16	29	14	0	0	0	0	0	0	0
ASV_161	0	0	20	25	14	0	0	0	0	0	0
ASV_162	23	0	23	5	6	0	0	0	0	0	0
ASV_163	0	0	0	56	0	0	0	0	0	0	0
ASV_164	6	0	1	17	31	0	0	0	0	0	0
ASV_165	24	30	0	0	0	0	0	0	0	0	0
ASV_166	53	0	0	0	0	0	0	0	0	0	0
ASV_167	0	0	45	0	7	0	0	0	0	0	0
ASV_168	45	0	0	5	0	0	0	0	0	0	0
ASV_169	0	0	0	0	0	0	0	0	47	0	3
ASV_170	47	0	0	0	0	0	0	0	0	0	0
ASV_171	22	11	13	0	0	0	0	0	0	0	0
ASV_172	0	0	43	0	0	0	0	0	0	0	0
ASV_173	22	0	20	0	0	0	0	0	0	0	0
ASV_174	0	0	25	0	17	0	0	0	0	0	0
ASV_175	0	0	27	0	11	0	0	0	0	0	0
ASV_176	13	0	0	0	0	2	0	0	0	11	7
ASV_177	23	0	0	0	8	0	0	0	0	0	0
ASV_178	0	0	12	0	0	0	0	19	0	0	0
ASV_179	0	11	0	0	16	0	0	0	0	0	0
ASV_180	0	0	27	0	0	0	0	0	0	0	0
ASV_181	0	0	0	27	0	0	0	0	0	0	0
ASV_182	0	0	0	0	0	0	0	0	19	7	0
ASV_183	8	0	16	0	0	0	0	0	0	0	0
ASV_184	0	0	0	0	0	0	0	0	24	0	0
ASV_185	0	0	0	0	0	0	0	0	24	0	0
ASV_186	0	0	0	23	0	0	0	0	0	0	0
ASV_187	0	0	0	0	0	0	0	0	5	18	0
ASV_188	21	0	0	0	0	0	0	0	0	0	0
ASV_189	20	0	0	0	0	0	0	0	0	0	0
ASV_190	6	0	0	0	14	0	0	0	0	0	0
ASV_191	0	0	0	0	20	0	0	0	0	0	0
ASV_192	10	0	0	0	7	0	0	0	0	0	0
ASV_193	0	0	17	0	0	0	0	0	0	0	0
ASV_194	0	0	2	0	15	0	0	0	0	0	0
ASV_195	13	0	0	0	3	0	0	0	0	0	0
ASV_196	0	0	16	0	0	0	0	0	0	0	0
ASV_197	5	0	0	10	0	0	0	0	0	0	0
ASV_198	15	0	0	0	0	0	0	0	0	0	0
ASV_199	0	0	0	15	0	0	0	0	0	0	0
ASV_200	4	0	10	0	0	0	0	0	0	0	0
ASV_201	0	0	0	0	0	0	0	0	13	0	0
ASV_202	0	0	7	0	0	0	0	0	0	0	5
ASV_203	0	0	0	0	12	0	0	0	0	0	0
ASV_204	0	0	0	0	0	0	0	0	12	0	0
ASV_205	0	0	0	0	0	0	0	0	0	12	0
ASV_206	0	0	0	0	0	0	0	0	0	12	0
ASV_207	11	0	0	0	0	0	0	0	0	0	0
ASV_208	0	11	0	0	0	0	0	0	0	0	0
ASV_209	0	0	11	0	0	0	0	0	0	0	0
ASV_210	0	0	3	0	8	0	0	0	0	0	0
ASV_211	0	0	0	0	0	0	0	11	0	0	0
ASV_212	0	0	0	0	0	0	0	0	11	0	0
ASV_213	10	0	0	0	0	0	0	0	0	0	0
ASV_214	0	5	0	0	5	0	0	0	0	0	0
ASV_215	0	0	0	8	0	2	0	0	0	0	0
ASV_216	0	0	0	0	0	0	0	0	7	3	0
ASV_217	0	0	0	0	0	0	0	0	10	0	0
ASV_218	0	0	0	0	0	0	0	0	0	10	0
ASV_219	0	0	0	0	0	0	0	0	0	10	0
ASV_220	0	9	0	0	0	0	0	0	0	0	0
ASV_221	0	9	0	0	0	0	0	0	0	0	0
ASV_222	0	0	9	0	0	0	0	0	0	0	0
ASV_223	0	0	0	0	9	0	0	0	0	0	0
ASV_224	0	0	0	0	0	0	0	0	9	0	0
ASV_225	0	0	0	0	0	0	0	0	9	0	0
ASV_226	0	3	0	5	0	0	0	0	0	0	0
ASV_227	0	0	0	0	8	0	0	0	0	0	0
ASV_228	0	0	0	0	0	0	0	0	8	0	0
ASV_229	0	7	0	0	0	0	0	0	0	0	0
ASV_230	0	0	0	0	7	0	0	0	0	0	0
ASV_231	0	0	0	0	7	0	0	0	0	0	0
ASV_232	0	0	0	0	0	0	0	7	0	0	0
ASV_233	0	0	0	0	0	0	0	0	7	0	0
ASV_234	0	0	0	0	0	0	0	0	0	0	7
ASV_235	0	0	0	6	0	0	0	0	0	0	0
ASV_236	0	0	0	6	0	0	0	0	0	0	0
ASV_237	0	0	0	0	0	6	0	0	0	0	0
ASV_238	0	0	0	0	0	0	0	0	6	0	0
ASV_239	0	0	0	0	0	0	0	0	6	0	0
ASV_240	0	0	0	0	0	0	0	0	6	0	0
ASV_241	0	0	0	0	0	0	0	0	6	0	0
ASV_242	5	0	0	0	0	0	0	0	0	0	0
ASV_243	0	5	0	0	0	0	0	0	0	0	0
ASV_244	0	5	0	0	0	0	0	0	0	0	0
ASV_245	0	0	5	0	0	0	0	0	0	0	0
ASV_246	0	0	5	0	0	0	0	0	0	0	0
ASV_247	0	0	0	0	5	0	0	0	0	0	0
ASV_248	0	0	0	0	0	5	0	0	0	0	0
ASV_249	0	0	0	0	0	0	5	0	0	0	0
ASV_250	0	0	0	0	0	0	0	5	0	0	0
ASV_251	0	0	0	0	0	0	0	0	5	0	0
ASV_252	0	0	0	0	0	0	0	0	5	0	0
ASV_253	0	0	0	0	0	0	0	0	5	0	0
ASV_254	0	0	0	0	0	0	0	0	5	0	0
ASV_255	0	0	0	0	0	0	0	0	0	0	5
ASV_256	4	0	0	0	0	0	0	0	0	0	0
ASV_257	0	0	0	4	0	0	0	0	0	0	0
ASV_258	0	0	0	0	4	0	0	0	0	0	0
ASV_259	0	0	0	0	0	4	0	0	0	0	0
ASV_260	0	0	0	0	0	4	0	0	0	0	0
ASV_261	0	0	0	0	0	4	0	0	0	0	0
ASV_262	0	0	0	0	0	0	0	4	0	0	0
ASV_263	0	0	0	0	0	0	0	4	0	0	0
ASV_264	0	0	0	0	0	0	0	0	4	0	0
ASV_265	0	0	0	0	0	0	0	0	4	0	0
ASV_266	0	0	0	0	0	0	0	0	4	0	0
ASV_267	0	0	0	0	0	0	0	0	4	0	0
ASV_268	0	0	0	0	0	0	0	0	4	0	0
ASV_269	0	0	0	0	0	0	0	0	4	0	0
ASV_270	0	0	0	0	0	0	0	0	4	0	0
ASV_271	0	0	0	0	0	0	0	0	0	0	4
ASV_272	0	0	0	0	0	0	0	0	0	0	4
ASV_273	3	0	0	0	0	0	0	0	0	0	0
ASV_274	3	0	0	0	0	0	0	0	0	0	0
ASV_275	0	3	0	0	0	0	0	0	0	0	0
ASV_276	0	0	3	0	0	0	0	0	0	0	0
ASV_277	0	0	3	0	0	0	0	0	0	0	0
ASV_278	0	0	0	0	3	0	0	0	0	0	0
ASV_279	0	0	0	0	0	3	0	0	0	0	0
ASV_280	0	0	0	0	0	0	0	0	3	0	0
ASV_281	0	0	0	0	0	0	0	0	3	0	0
ASV_282	0	0	0	0	0	2	0	0	0	0	0
ASV_283	0	0	0	0	0	0	2	0	0	0	0
ASV_284	0	0	0	0	0	0	2	0	0	0	0
ASV_285	0	0	0	0	0	0	0	0	2	0	0
ASV_286	0	0	0	0	0	0	0	0	2	0	0
ASV_287	0	0	0	0	0	0	0	0	2	0	0
ASV_288	0	0	0	0	0	0	0	0	0	0	2
ASV_289	0	0	0	0	0	0	0	0	0	0	2
