function	CV1	CV2	CV3	CV4	CV5	GF1	GF2	GF3	GF4	GF5	GF6
RXN1G-349	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-355	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-358	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-363	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-364	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-3641	96.92	93.0	71.92	120.0	74.25	230.17	231.33	298.17	233.15	232.4	232.13
RXN1G-368	35.0	67.0	12.0	55.5	11.67	0.0	5.0	45.0	0.0	0.4	4.3
RXN1G-37	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-374	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-377	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-384	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-395	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-396	1808.35	1265.7600000000002	1226.0	1987.67	1291.09	497.17	494.24	557.0099999999999	477.3	480.2800000000001	496.31
RXN1G-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5	0.0	0.0	0.0
RXN1G-408	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-409	2597.61	2779.43	2601.75	2986.0	2982.67	975.84	961.23	1202.0199999999998	954.6	951.2100000000002	976.17
RXN1G-420	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-424	1104.01	993.09	956.33	1246.75	1048.2600000000002	253.0	250.91000000000005	332.84	242.15	242.68000000000004	255.53
RXN1G-425	1141.1799999999998	1018.59	970.0	1286.5	1053.59	482.17	480.24	546.0099999999999	473.3	473.4800000000001	483.71
RXN1G-4355	1323.67	462.67	509.0	1380.67	410.67	30.0	30.0	78.0	10.0	14.0	32.5
