	CV1	CV2	CV3	CV4	CV5	GF1	GF2	GF3	GF4	GF5	GF6
ASV_113	0	0	0	0	0	0	0	0	0	2	0
ASV_114	0	0	0	0	6	0	0	0	0	0	0
ASV_115	1	0	0	0	0	0	0	0	0	0	0
ASV_116	1	0	0	0	0	0	0	0	0	0	0
ASV_117	0	0	0	0	2	0	0	0	0	0	0
ASV_118	0	0	0	0	2	0	0	0	0	0	0
ASV_119	0	0	0	1	3	0	0	0	0	0	0
ASV_120	0	4	0	0	0	0	0	0	0	0	0
ASV_121	0	0	2	0	4	0	0	0	0	0	0
ASV_122	0	0	1	0	0	0	0	0	0	0	0
ASV_123	0	0	0	0	1	0	0	0	0	0	0
ASV_124	0	0	3	0	0	0	0	0	0	0	0
ASV_125	0	0	0	3	0	0	0	0	0	0	0
ASV_126	0	0	0	0	0	0	0	0	0	3	0
ASV_127	0	0	0	0	0	0	0	0	0	2	0
ASV_128	0	0	0	0	0	0	0	0	0	3	0
ASV_129	0	0	0	0	0	0	0	0	2	0	0
ASV_130	0	0	0	0	0	0	0	0	0	2	0
ASV_131	0	2	0	0	0	0	0	0	0	0	0
ASV_132	0	1	0	0	0	0	0	0	0	0	0
ASV_133	1	0	0	0	0	0	0	0	0	0	0
ASV_134	0	0	0	1	0	0	0	0	0	0	0
ASV_135	0	1	0	0	0	0	0	0	0	0	0
ASV_136	0	0	0	0	2	0	0	0	0	0	0
ASV_137	3	0	0	0	1	0	0	0	0	0	0
ASV_138	0	0	0	0	0	0	0	0	2	0	0
ASV_139	1	0	0	0	0	0	0	0	0	0	0
ASV_140	0	0	0	1	0	0	0	0	0	0	0
ASV_141	1	0	0	1	0	0	0	0	0	0	0
ASV_142	1	0	0	0	0	0	0	0	0	0	0
ASV_143	0	0	0	0	0	0	1	0	0	0	0
ASV_144	0	0	2	0	0	0	0	0	0	0	0
ASV_145	0	1	0	0	0	0	0	0	0	0	0
ASV_146	0	0	1	0	1	0	0	0	0	0	0
ASV_147	0	0	0	1	0	0	0	0	0	0	0
ASV_148	0	0	0	0	1	0	0	0	0	0	0
ASV_149	0	0	2	0	0	0	0	0	0	0	0
ASV_150	1	1	0	0	0	0	0	0	0	0	0
ASV_151	0	0	0	0	0	0	0	0	0	1	2
ASV_152	0	0	0	0	1	0	0	0	0	0	0
ASV_153	0	0	0	0	0	0	0	16	0	0	0
ASV_154	0	0	1	0	0	0	0	0	0	0	0
ASV_155	0	0	1	0	0	0	0	0	0	0	0
ASV_156	0	0	0	0	0	0	0	0	0	0	1
ASV_157	0	1	0	0	0	0	0	0	0	0	0
ASV_158	0	0	1	0	0	0	0	0	0	0	0
ASV_159	0	0	0	0	0	0	0	10	0	0	0
ASV_160	0	0	0	0	0	0	0	0	1	0	0
ASV_161	0	0	0	1	0	0	0	0	0	0	0
ASV_162	0	0	0	0	0	0	0	7	0	0	0
ASV_163	0	0	0	0	0	0	0	0	0	0	1
ASV_164	0	1	0	0	0	0	0	0	0	0	0
ASV_165	0	0	0	0	0	0	1	0	0	0	0
ASV_166	0	0	0	0	0	0	0	2	0	0	0
ASV_167	0	0	0	0	0	0	0	0	0	0	1
ASV_168	0	0	0	0	0	0	0	9	0	0	0
ASV_169	0	0	0	0	0	0	0	8	0	0	0
ASV_170	0	0	0	0	0	0	0	0	0	0	1
ASV_171	0	0	1	0	0	0	0	0	0	0	0
